#Mass          	Status    Reason                                            Runtime                  
			
01200_SP       	OK        central_C12_mass_fraction_below_1e-4              10:29:55                 
01300_PT       	OK        central_C12_mass_fraction_below_1e-4              11:48:13                 
01300_SP       	OK        central_C12_mass_fraction_below_1e-4              11:16:09                 
01400_PT       	OK        central_C12_mass_fraction_below_1e-4              9:43:45                  
01400_SP       	OK        central_C12_mass_fraction_below_1e-4              8:47:32                  
01500_PT       	OK        central_C12_mass_fraction_below_1e-4              22:52:16                 
01500_SP       	OK        central_C12_mass_fraction_below_1e-4              11:11:00                 
01600          	OK        central_C12_mass_fraction_below_1e-4              12:39:41                 
01700          	OK        central_C12_mass_fraction_below_1e-4              8:23:17                  
01800          	OK        central_C12_mass_fraction_below_1e-4              6:06:45                  
01900          	OK        central_C12_mass_fraction_below_1e-4              9:11:59                  
02000          	OK        central_C12_mass_fraction_below_1e-4              8:42:15                  
02200          	OK        central_C12_mass_fraction_below_1e-4              62:47:26                 
02400          	OK        central_C12_mass_fraction_below_1e-4              9:11:54                  
02600          	OK        central_C12_mass_fraction_below_1e-4              12:05:07                 
02800          	OK        central_C12_mass_fraction_below_1e-4              11:00:34                 
03000          	OK        central_C12_mass_fraction_below_1e-4              12:52:23                 
03200          	OK        central_C12_mass_fraction_below_1e-4              11:31:56                 
03400          	FAILED    need_more_time                                    exceeded_req_time        
03600          	FAILED    need_more_time                                    exceeded_req_time        
03800          	OK        central_C12_mass_fraction_below_1e-4              13:24:18                 
04000          	FAILED    need_more_time                                    exceeded_req_time        
04500          	FAILED    min_timestep_limit                                60:03:20                 
05000          	FAILED    need_more_time                                    exceeded_req_time        
05500          	FAILED    min_timestep_limit                                7:11:06                  
06000          	FAILED    min_timestep_limit                                20:14:09                 
06500          	FAILED    need_more_time                                    exceeded_req_time        
07000          	OK        central_C12_mass_fraction_below_1e-4              92:24:39                 
07500          	FAILED    min_timestep_limit                                34:53:15                 
08000          	OK        central_C12_mass_fraction_below_1e-4              21:45:03                 
08500          	FAILED    min_timestep_limit                                15:25:47                 
09000          	FAILED    min_timestep_limit                                44:49:58                 
09500          	FAILED    min_timestep_limit                                37:23:18                 
10000          	OK        central_C12_mass_fraction_below_1e-4              52:40:12                 
10500          	FAILED    need_more_time                                    exceeded_req_time        
11000          	FAILED    min_timestep_limit                                21:25:33                 
11500          	FAILED    min_timestep_limit                                14:03:32                 
12000          	FAILED    min_timestep_limit                                73:11:26                 
12500          	FAILED    need_more_time                                    exceeded_req_time        
13000          	FAILED    min_timestep_limit                                14:11:08                 
13500          	OK        central_C12_mass_fraction_below_1e-4              103:11:43                
14000          	FAILED    need_more_time                                    exceeded_req_time        
14500          	FAILED    need_more_time                                    exceeded_req_time        
15000          	FAILED    min_timestep_limit                                59:03:34                 
17500          	FAILED    need_more_time                                    exceeded_req_time        
20000          	FAILED    min_timestep_limit                                9:20:23                  
22500          	FAILED    need_more_time                                    exceeded_req_time        
25000          	FAILED    need_more_time                                    exceeded_req_time        
27500          	FAILED    min_timestep_limit                                38:17:30                 
30000          	FAILED    min_timestep_limit                                17:45:03                 
