#Mass          	Status    Reason                                            Runtime                  
			
01000_PT       	OK        central_C12_mass_fraction_below_1e-4              69:36:18                 
01000_SP       	OK        central_C12_mass_fraction_below_1e-4              93:56:23                 
01100_PT       	OK        central_C12_mass_fraction_below_1e-4              22:40:00                 
01100_SP       	OK        central_C12_mass_fraction_below_1e-4              23:41:40                 
01200_PT       	OK        central_C12_mass_fraction_below_1e-4              30:26:50                 
01200_SP       	OK        central_C12_mass_fraction_below_1e-4              39:34:26                 
01300_PT       	OK        central_C12_mass_fraction_below_1e-4              59:01:59                 
01300_SP       	FAILED    unknown_error                                     exceeded_req_time        
01400_PT       	OK        central_C12_mass_fraction_below_1e-4              29:50:32                 
01400_SP       	OK        central_C12_mass_fraction_below_1e-4              29:40:48                 
01500_PT       	OK        central_C12_mass_fraction_below_1e-4              42:31:33                 
01500_SP       	OK        central_C12_mass_fraction_below_1e-4              26:24:39                 
01600          	OK        central_C12_mass_fraction_below_1e-4              29:17:50                 
01700          	FAILED    unknown_error                                     28:24:09                 
01800          	OK        central_C12_mass_fraction_below_1e-4              40:12:10                 
01900          	OK        central_C12_mass_fraction_below_1e-4              39:44:45                 
02000          	OK        central_C12_mass_fraction_below_1e-4              44:09:56                 
02200          	FAILED    unknown_error                                     exceeded_req_time        
02400          	OK        central_C12_mass_fraction_below_1e-4              58:26:57                 
02600          	OK        central_C12_mass_fraction_below_1e-4              63:53:45                 
02800          	OK        central_C12_mass_fraction_below_1e-4              73:00:58                 
03000          	FAILED    unknown_error                                     exceeded_req_time        
03200          	FAILED    need_more_time                                    exceeded_req_time        
03400          	FAILED    need_more_time                                    exceeded_req_time        
03600          	FAILED    unknown_error                                     exceeded_req_time        
03800          	FAILED    need_more_time                                    exceeded_req_time        
04000          	FAILED    need_more_time                                    exceeded_req_time        
04500          	FAILED    unknown_error                                     exceeded_req_time        
05000          	FAILED    unknown_error                                     exceeded_req_time        
05500          	OK        central_C12_mass_fraction_below_1e-4              2:27:44                  
06000          	OK        central_C12_mass_fraction_below_1e-4              4:29:00                  
06500          	OK        central_C12_mass_fraction_below_1e-4              5:33:41                  
07000          	OK        central_C12_mass_fraction_below_1e-4              5:34:21                  
07500          	OK        central_C12_mass_fraction_below_1e-4              4:59:42                  
08000          	OK        central_C12_mass_fraction_below_1e-4              4:54:56                  
08500          	FAILED    unknown_error                                     exceeded_req_time        
09000          	OK        central_C12_mass_fraction_below_1e-4              5:45:41                  
09500          	OK        central_C12_mass_fraction_below_1e-4              8:16:58                  
10000          	OK        central_C12_mass_fraction_below_1e-4              5:12:28                  
10500          	OK        central_C12_mass_fraction_below_1e-4              5:37:43                  
11000          	OK        central_C12_mass_fraction_below_1e-4              5:22:10                  
11500          	OK        central_C12_mass_fraction_below_1e-4              5:20:44                  
12000          	OK        central_C12_mass_fraction_below_1e-4              5:11:15                  
12500          	OK        central_C12_mass_fraction_below_1e-4              5:14:37                  
13000          	OK        central_C12_mass_fraction_below_1e-4              5:34:53                  
13500          	OK        central_C12_mass_fraction_below_1e-4              5:40:29                  
14000          	OK        central_C12_mass_fraction_below_1e-4              5:03:05                  
14500          	OK        central_C12_mass_fraction_below_1e-4              5:32:43                  
15000          	OK        central_C12_mass_fraction_below_1e-4              5:08:20                  
17500          	OK        central_C12_mass_fraction_below_1e-4              5:39:56                  
20000          	OK        central_C12_mass_fraction_below_1e-4              5:50:43                  
22500          	OK        central_C12_mass_fraction_below_1e-4              5:53:25                  
25000          	OK        central_C12_mass_fraction_below_1e-4              6:14:32                  
27500          	OK        central_C12_mass_fraction_below_1e-4              5:59:45                  
30000          	OK        central_C12_mass_fraction_below_1e-4              6:15:25                  
